Wall time,Step,Value
1525832299,0,1.16514945
1525832421,1,1.15822494
1525832543,2,0.731488883
1525832665,3,0.528689563
1525832786,4,0.979765713
1525832908,5,0.813881338
1525833029,6,0.865727067
1525833150,7,1.007001877
1525833271,8,0.95024848
1525833392,9,0.999680221
1525833513,10,0.654416203
1525833633,11,1.049705148
1525833754,12,1.478534222
1525833875,13,0.986159801
1525833996,14,0.783493638
1525834117,15,0.697024941
1525834238,16,0.785990834
1525834360,17,1.584953427
1525834481,18,1.438140392
1525834602,19,0.788161874
1525834723,20,0.818768322
1525834844,21,0.79088974
1525834964,22,1.461374283
1525835085,23,0.748086572
1525835206,24,1.479244471
1525835327,25,0.91219008
1525835448,26,0.520952642
1525835571,27,0.671686053
1525835692,28,1.379552364
1525835813,29,0.578582644
1525835933,30,1.033805966
1525836054,31,0.994932532
1525836175,32,0.916220188
1525836296,33,0.658540368
1525836417,34,0.808149219
1525836538,35,1.036386728
1525836658,36,1.45714283
1525836779,37,0.809456527
1525836900,38,1.027286172
1525837021,39,0.837838829
1525837142,40,1.177626848
1525837263,41,1.116953492
1525837384,42,1.078782558
1525837504,43,0.735643387
1525837625,44,0.947745264
1525837746,45,1.177076578
1525837867,46,1.275378466
1525837988,47,1.301980972
1525838109,48,0.635725737
1525838231,49,0.739262521
1525838352,50,0.765968919
1525838474,51,1.078102231
1525838595,52,0.835773468
1525838716,53,0.817412913
1525838838,54,0.932336807
1525838959,55,1.275640368
1525839080,56,1.173275232
1525839201,57,1.075057387
1525839323,58,1.044601917
1525839444,59,0.534294724
1525839565,60,0.71916914
1525839686,61,0.888556123
1525839808,62,1.155280471
1525839929,63,0.729684234
1525840050,64,0.753328323
1525840171,65,0.816378593
1525840292,66,1.198735237
1525840413,67,0.522591114
1525840533,68,0.556097806
1525840654,69,0.924415231
1525840775,70,1.000113964
1525840897,71,0.935072005
1525841022,72,0.848992586
1525841146,73,1.012741446
1525841271,74,0.975352407
1525841396,75,0.954919219
1525841521,76,0.940503001
1525841645,77,0.925949395
1525841770,78,0.798518658
1525841894,79,0.879686177
1525842018,80,0.816507757
1525842142,81,0.83521986
1525842266,82,0.910629869
1525842390,83,0.981186628
1525842514,84,0.795439839
1525842639,85,0.791574836
1525842764,86,1.324851871
1525842888,87,0.870803714
1525843012,88,0.715299606
1525843136,89,0.829123378
1525843260,90,0.715104818
1525843384,91,0.764779687
1525843507,92,0.914556384
1525843630,93,0.629558742
1525843753,94,1.456375599
1525843876,95,0.718274951
1525843998,96,0.940602481
1525844121,97,1.431459665
1525844243,98,0.982337594
1525844365,99,1.412946939
1525844487,100,1.444893599
1525844617,101,1.367482901
1525844740,102,1.215930223
1525844880,103,1.231012821
1525845003,104,1.529408932
1525845140,105,0.672245324
1525845262,106,0.986113667
1525845384,107,1.094121695
1525845506,108,1.05838418
1525845628,109,1.636201739
1525845751,110,2.17500782
1525845899,111,1.07457757
1525846021,112,1.496335506
1525846153,113,0.97910744
1525846294,114,1.791589737
1525846418,115,2.275295258
1525846562,116,0.959337354
1525846686,117,2.074501038
1525846810,118,1.024060965
1525846933,119,1.628419518
1525847983,0,0.766837597
1525848151,1,2.092954636
1525848270,2,1.518785954
1525848390,3,1.676481605
1525848509,4,1.649430513
1525848629,5,2.420277119
1525848748,6,1.872226477
1525848868,7,1.625423312
1525848987,8,2.393799305
1525849107,9,1.153423905
1525849226,10,1.516771793
1525849346,11,1.820884466
1525849465,12,1.782856226
1525849583,13,2.400430202
1525849701,14,2.016841412
1525849819,15,2.843873501
1525849937,16,1.428574562
1525850055,17,2.348119259
1525850173,18,0.972569168
1525850291,19,1.036512375
